gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
A2M,2,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,2,False,True,hypertension-specific,,,0.004723846509294965,2922,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABCB1,5243,False,False,True,2,3,1,0,mixed,True,True,True,True,False,True,False,3,True,True,shared,0.03327758608223503,470,0.05805522329476696,279,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABCB6,10058,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0022174791281082107,1683,0.0022174791281082107,4226,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABCC1,4363,False,True,False,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,False,True,hypertension-specific,,,0.01580671249197985,1248,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ABL1,25,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.007761176948378739,955,0.00591471492994567,2589,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACHE,43,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,16,True,True,shared,0.004989328038243475,1162,0.017283640751898643,1155,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACKR5,11318,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,False,True,hypertension-specific,,,0.00819235344551089,2137,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACP1,52,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.005174117965585825,2843,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACP2,53,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,2,False,True,hypertension-specific,,,0.0014783194187388072,4729,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACTA1,58,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.002771848910135263,1581,0.03037368544407999,626,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ACTB,60,False,False,True,1,3,2,0,mixed,True,False,False,False,True,False,False,3,False,True,hypertension-specific,,,0.03480855631358647,528,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADA,100,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,2076,0.03482763089713071,526,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADAM10,102,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,False,True,hypertension-specific,,,0.015899735992818857,1240,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADAM17,6868,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0025870589827929123,1636,0.03674435504763505,494,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADRA2C,152,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470183,1461,0.5781404477164324,15,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
ADRB2,154,True,False,True,1,6,1,0,mixed,False,True,True,True,False,True,False,34,False,True,hypertension-specific,,,0.5933509508525646,10,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
AGER,177,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,False,True,hypertension-specific,,,0.032592383938256565,577,,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
