branch_class,tissue,tissue_role,n_genes_planned,n_genes_modelled,n_genes_expressed,n_fdr_significant,n_female_biased_fdr,n_male_biased_fdr,n_meaningful_abs_effect_ge_0_25,n_exact_2NAP_human,n_exact_2NAP_experimental,n_multi_source_ge2,n_network_hubs,evidence_composition_note
thyroid-specific,Thyroid,thyroid disease-relevant tissue,30,30,27,7,1,6,1,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Thyroid,thyroid disease-relevant tissue,251,250,225,33,4,29,8,26,4,11,0,Evidence fields inherited from M1b.
shared,Thyroid,thyroid disease-relevant tissue,189,189,181,23,7,16,6,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Artery - Aorta,hypertension/cardiovascular tissue,30,30,27,0,0,0,0,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Artery - Aorta,hypertension/cardiovascular tissue,251,250,223,12,6,6,9,26,4,11,0,Evidence fields inherited from M1b.
shared,Artery - Aorta,hypertension/cardiovascular tissue,189,189,174,8,3,5,7,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Artery - Tibial,hypertension/cardiovascular tissue,30,30,27,1,0,1,1,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Artery - Tibial,hypertension/cardiovascular tissue,251,250,216,14,6,8,9,26,4,11,0,Evidence fields inherited from M1b.
shared,Artery - Tibial,hypertension/cardiovascular tissue,189,189,173,14,4,10,9,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Artery - Coronary,hypertension/cardiovascular tissue,30,30,27,0,0,0,5,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Artery - Coronary,hypertension/cardiovascular tissue,251,250,223,2,0,2,14,26,4,11,0,Evidence fields inherited from M1b.
shared,Artery - Coronary,hypertension/cardiovascular tissue,189,189,176,1,0,1,13,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Heart - Left Ventricle,hypertension/cardiovascular tissue,30,30,25,0,0,0,1,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Heart - Left Ventricle,hypertension/cardiovascular tissue,251,250,203,4,1,3,4,26,4,11,0,Evidence fields inherited from M1b.
shared,Heart - Left Ventricle,hypertension/cardiovascular tissue,189,189,167,2,0,2,3,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Heart - Atrial Appendage,hypertension/cardiovascular tissue,30,30,26,1,1,0,1,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Heart - Atrial Appendage,hypertension/cardiovascular tissue,251,250,208,3,1,2,7,26,4,11,0,Evidence fields inherited from M1b.
shared,Heart - Atrial Appendage,hypertension/cardiovascular tissue,189,189,175,3,1,2,7,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Kidney - Cortex,hypertension/renal tissue,30,30,27,0,0,0,8,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Kidney - Cortex,hypertension/renal tissue,251,250,224,0,0,0,69,26,4,11,0,Evidence fields inherited from M1b.
shared,Kidney - Cortex,hypertension/renal tissue,189,189,177,0,0,0,58,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Adrenal Gland,hypertension/endocrine tissue,30,30,25,0,0,0,0,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Adrenal Gland,hypertension/endocrine tissue,251,250,219,2,1,1,11,26,4,11,0,Evidence fields inherited from M1b.
shared,Adrenal Gland,hypertension/endocrine tissue,189,189,172,1,1,0,5,34,2,17,4,Evidence fields inherited from M1b.
thyroid-specific,Liver,optional toxicokinetic/metabolism reference only,30,30,27,1,1,0,1,0,0,0,0,thyroid-specific is parent-naphthalene-only in M1b; it must not be interpreted as exact 2-NAP evidence.
hypertension-specific,Liver,optional toxicokinetic/metabolism reference only,251,250,220,8,8,0,21,26,4,11,0,Evidence fields inherited from M1b.
shared,Liver,optional toxicokinetic/metabolism reference only,189,189,177,12,11,1,17,34,2,17,4,Evidence fields inherited from M1b.
