gene_symbol,shared_core_membership,exact_2NAP_human_support,exact_2NAP_experimental_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,n_prespecified_nonliver_tissues_expressed,n_tissues_fdr_significant,n_tissues_meaningful_abs_effect_ge_0_25,female_biased_tissues_fdr,male_biased_tissues_fdr,m5_candidate,candidate_tier,selection_rule
JUN,True,True,False,2,True,True,True,8,0,1,,,True,Tier 1: M3 hub plus observed tissue sex bias,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
TP53,True,True,False,2,True,True,True,8,0,1,,,True,Tier 1: M3 hub plus observed tissue sex bias,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
AHR,True,True,True,2,True,False,False,8,0,1,,,True,Tier 2: exact-human multi-source plus observed tissue sex bias,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
CYP19A1,True,True,False,2,True,False,False,6,2,1,,Thyroid;Heart - Atrial Appendage,True,Tier 2: exact-human multi-source plus observed tissue sex bias,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NFE2L2,True,True,False,2,True,False,False,8,1,0,,Thyroid,True,Tier 2: exact-human multi-source plus observed tissue sex bias,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
NFKB1,True,True,False,1,False,True,False,8,1,1,,Thyroid,True,Tier 3: exact-human network-central FDR hit,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ABCB1,True,False,False,2,True,False,False,8,0,0,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ABCB6,True,False,False,1,False,False,False,8,0,1,,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ABL1,True,False,False,1,False,False,False,8,1,1,,Thyroid,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
ACHE,True,True,False,1,False,False,False,8,1,1,Thyroid,,False,not selected,"Transparent tiered gate; no weighted composite score. All source, network, and tissue-bias dimensions are retained as separate fields."
