audit_id,branch,metric,source_file,source_sha256,field_or_rule,recomputed_value,expected_canonical_value,status,reconciliation_note
S1.environmental_universe,canonical_exposure_construction,environmental universe entities,analysis/disease_agnostic_environmental_framework/step01_environmental_universe/environmental_universe.csv,ad0c1d65129ea78d17fd964f5a9e85908344cfd4a40e35b9628004d53c679dc1,row count and unique chemical_id,rows=2042;unique_chemical_id=2042,rows=2042;unique_chemical_id=2042,PASS,Current disease-agnostic environmental universe; not the historical CRC-specific 267-row matrix.
S1.raw_ctd_rows,canonical_exposure_construction,raw CTD classification rows,analysis/disease_agnostic_environmental_framework/step01_environmental_universe/ctd_classification_ledger.csv,e865ea4f5539b62a4ce9061ba32b70fabe51ca5382f1f87a48f6ef67c93729bf,row count,179672,179672,PASS,Raw CTD classification ledger is not the final chemical universe.
S2.mapping_rows,canonical_exposure_construction,chemical–biomarker mapping rows,analysis/disease_agnostic_environmental_framework/step02_biomarker_mapping/chemical_biomarker_mapping.csv,9114121e5d3e49d69739cec48c77f6709dce531e4c0a4d97b3c3e59fc63bb25d,row count,2046,2046,PASS,Rows retain chemical-to-biomarker mapping multiplicity before actionability filtering.
S3.actionable_mapping_rows,canonical_exposure_construction,actionable chemical–biomarker mapping rows,analysis/disease_agnostic_environmental_framework/step03_actionability/actionability_ledger.csv,c2480d968b4731ccf3676a54b9647b6c6cf67ca6f7eef9ec19e54a78ca3a9225,actionable_mapping == True,411,411,PASS,"411 is a mapping-row count, not a count of unique chemicals."
S3.exclusion_rows,canonical_exposure_construction,non-actionable mapping rows,analysis/disease_agnostic_environmental_framework/step03_actionability/exclusion_ledger.csv,51d7bc76bb9a2a25f2319b50319251bba3903497f83b59fb695ea96f6fb0eb45,all rows in exclusion ledger,1635,1635,PASS,"Complements the 411 actionable mapping rows in the 2,046-row ledger."
S4.mapping_rows_across_tests,canonical_exposure_construction,mapping rows represented in frozen test set,analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_chemical_membership.csv,5b5d45db031b77a90e3c3b369d38df50fdc24811e18fcc87329299d852d25c0a,row count,411,411,PASS,The frozen 29-test set carries all 411 actionable mapping rows.
S4.unique_chemical_ids_across_tests,canonical_exposure_construction,unique chemical IDs represented across frozen tests,analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_chemical_membership.csv,5b5d45db031b77a90e3c3b369d38df50fdc24811e18fcc87329299d852d25c0a,nunique(chemical_id),409,409,PASS,409 is the unique-chemical count; it differs from 411 because mapping memberships can repeat.
S4.duplicate_chemical_memberships,canonical_exposure_construction,duplicate chemical memberships,analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_chemical_membership.csv,5b5d45db031b77a90e3c3b369d38df50fdc24811e18fcc87329299d852d25c0a,mapping rows minus unique chemical IDs,2,2,PASS,"D004051 appears in URXECP, URXMHH and URXMOH: 3 memberships yield 2 duplicate memberships."
S4.frozen_test_count,canonical_exposure_construction,frozen human biomarker tests,analysis/disease_agnostic_environmental_framework/step04_testset_freeze/unique_biomarker_test_set.csv,6b284b23d69f74991fc28978c85c1e39d10f096e2fd4d42290046df8224c3a9e,row count and unique test_id,rows=29;unique_test_id=29,rows=29;unique_test_id=29,PASS,Step 4 collapses only to unique NHANES test level; chemical memberships are audited separately.
S4.mapping_sum_from_testset,canonical_exposure_construction,test-set mapping_count sum,analysis/disease_agnostic_environmental_framework/step04_testset_freeze/unique_biomarker_test_set.csv,6b284b23d69f74991fc28978c85c1e39d10f096e2fd4d42290046df8224c3a9e,sum(mapping_count),411,411,PASS,Independent check of the 411 mapping-row count using the frozen test-set file.
S4.mapping_audit_rows,canonical_exposure_construction,hypothesis-unit mapping audit rows,analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_hypothesis_mapping.csv,0d49b306818f2ba8abcb80fe120d0086bf8f6798c1b409a495e909e86f0c923c,row count and unique test_id,rows=29;unique_test_id=29,rows=29;unique_test_id=29,PASS,This audit table has one row per frozen test; its chemical_mapping_count column sums to the 411 membership rows.
T2D.S5.test_count,T2D_positive_branch,T2D tests entered,analysis/disease_agnostic_environmental_framework/step05_t2d_screen/t2d_primary_29_tests.csv,a3764979386bfc903c19f2f382d02ebf93d9e1e67e77e5cefa642dc187c2f1a3,row count; fdr_denominator,rows=29;fdr_denominator=1:[29],rows=29;fdr_denominator=1:[29],PASS,The 29-test family was frozen before T2D outcome integration.
T2D.S5.estimable,T2D_positive_branch,estimable T2D tests,analysis/disease_agnostic_environmental_framework/step05_t2d_screen/t2d_primary_29_tests.csv,a3764979386bfc903c19f2f382d02ebf93d9e1e67e77e5cefa642dc187c2f1a3,finite P and analytic_n > 0,29,29,PASS,All 29 tests have finite P values and positive analytic sample size.
T2D.S5.nominal_positive,T2D_positive_branch,nominal P < 0.05,analysis/disease_agnostic_environmental_framework/step05_t2d_screen/t2d_primary_29_tests.csv,a3764979386bfc903c19f2f382d02ebf93d9e1e67e77e5cefa642dc187c2f1a3,P < 0.05,14,14,PASS,Nominal count is not the FDR-supported count.
