target_id,approved_symbol,overall_score,datasource_scores_json
ENSG00000095002,MSH2,0.9238706294845839,"[{""id"": ""uniprot_variants"", ""score"": 0.9946865301935028}, {""id"": ""gene_burden"", ""score"": 0.9876209088304275}, {""id"": ""genomics_england"", ""score"": 0.9751546471443746}, {""id"": ""eva"", ""score"": 0.9696706983207627}, {""id"": ""eva_somatic"", ""score"": 0.9273807328590009}, {""id"": ""cancer_gene_census"", ""score"": 0.833960260817156}, {""id"": ""uniprot_literature"", ""score"": 0.793687430215172}, {""id"": ""reactome"", ""score"": 0.7599134970145264}, {""id"": ""gene2phenotype"", ""score"": 0.607930797611621}, {""id"": ""orphanet"", ""score"": 0.607930797611621}, {""id"": ""clingen"", ""score"": 0.607930797611621}, {""id"": ""europepmc"", ""score"": 0.933691279259491}, {""id"": ""impc"", ""score"": 0.6510538234252128}, {""id"": ""expression_atlas"", ""score"": 0.13923674083439028}]"
ENSG00000116062,MSH6,0.91569936228193,"[{""id"": ""uniprot_variants"", ""score"": 0.9899578650940271}, {""id"": ""genomics_england"", ""score"": 0.9709141721197356}, {""id"": ""eva"", ""score"": 0.969578073302272}, {""id"": ""gene_burden"", ""score"": 0.9623385095902373}, {""id"": ""cancer_gene_census"", ""score"": 0.9015667625191428}, {""id"": ""eva_somatic"", ""score"": 0.8817186466131111}, {""id"": ""uniprot_literature"", ""score"": 0.7599134970145264}, {""id"": ""clingen"", ""score"": 0.607930797611621}, {""id"": ""reactome"", ""score"": 0.607930797611621}, {""id"": ""gene2phenotype"", ""score"": 0.607930797611621}, {""id"": ""orphanet"", ""score"": 0.607930797611621}, {""id"": ""europepmc"", ""score"": 0.6934972197710185}, {""id"": ""impc"", ""score"": 0.4226081600496985}, {""id"": ""expression_atlas"", ""score"": 0.056916422090012825}]"
ENSG00000076242,MLH1,0.9142080027577514,"[{""id"": ""gene_burden"", ""score"": 0.9797303729130817}, {""id"": ""genomics_england"", ""score"": 0.9785718611327795}, {""id"": ""eva"", ""score"": 0.9696630755180332}, {""id"": ""uniprot_variants"", ""score"": 0.9607983220922475}, {""id"": ""eva_somatic"", ""score"": 0.9502910520042454}, {""id"": ""cancer_gene_census"", ""score"": 0.8658766276917661}, {""id"": ""uniprot_literature"", ""score"": 0.7599134970145264}, {""id"": ""gene2phenotype"", ""score"": 0.7599134970145264}, {""id"": ""orphanet"", ""score"": 0.607930797611621}, {""id"": ""clingen"", ""score"": 0.607930797611621}, {""id"": ""reactome"", ""score"": 0.607930797611621}, {""id"": ""gwas_credible_sets"", ""score"": 0.25910273449417615}, {""id"": ""europepmc"", ""score"": 0.9864161842787199}, {""id"": ""impc"", ""score"": 0.6054285102414317}]"
ENSG00000122512,PMS2,0.8825100420040418,"[{""id"": ""eva"", ""score"": 0.9689701493325509}, {""id"": ""uniprot_variants"", ""score"": 0.9652766185441606}, {""id"": ""genomics_england"", ""score"": 0.9651629999684181}, {""id"": ""cancer_gene_census"", ""score"": 0.8010754781028131}, {""id"": ""eva_somatic"", ""score"": 0.7547299368680034}, {""id"": ""orphanet"", ""score"": 0.607930797611621}, {""id"": ""clingen"", ""score"": 0.607930797611621}, {""id"": ""uniprot_literature"", ""score"": 0.607930797611621}, {""id"": ""gene2phenotype"", ""score"": 0.607930797611621}, {""id"": ""reactome"", ""score"": 0.607930797611621}, {""id"": ""europepmc"", ""score"": 0.9067089428057027}]"
ENSG00000134982,APC,0.8584679191952063,"[{""id"": ""cancer_gene_census"", ""score"": 0.942778773351281}, {""id"": ""intogen"", ""score"": 0.9408166872488403}, {""id"": ""eva"", ""score"": 0.9396796998932381}, {""id"": ""gene_burden"", ""score"": 0.9203035789504319}, {""id"": ""reactome"", ""score"": 0.7599134970145264}, {""id"": ""genomics_england"", ""score"": 0.607930797611621}, {""id"": ""eva_somatic"", ""score"": 0.547137717850459}, {""id"": ""gwas_credible_sets"", ""score"": 0.4210200844881199}, {""id"": ""cancer_biomarkers"", ""score"": 0.607930797611621}, {""id"": ""europepmc"", ""score"": 0.9901398148093823}, {""id"": ""impc"", ""score"": 0.8728979343146341}]"
ENSG00000157764,BRAF,0.8385245105247489,"[{""id"": ""clinical_precedence"", ""score"": 0.952421459392999}, {""id"": ""intogen"", ""score"": 0.8763245560774734}, {""id"": ""eva"", ""score"": 0.8521348788757284}, {""id"": ""eva_somatic"", ""score"": 0.8007968431539079}, {""id"": ""cancer_gene_census"", ""score"": 0.7182485350558169}, {""id"": ""cancer_biomarkers"", ""score"": 0.9652766185441606}, {""id"": ""uniprot_variants"", ""score"": 0.44488713508550437}, {""id"": ""crispr"", ""score"": 0.35819281482122173}, {""id"": ""uniprot_literature"", ""score"": 0.3039653988058105}, {""id"": ""europepmc"", ""score"": 0.9956408525255181}, {""id"": ""impc"", ""score"": 0.3136922915675965}]"
ENSG00000141510,TP53,0.8346960475253294,"[{""id"": ""cancer_gene_census"", ""score"": 0.9429312508245256}, {""id"": ""intogen"", ""score"": 0.9330855745311664}, {""id"": ""eva"", ""score"": 0.919732304513783}, {""id"": ""eva_somatic"", ""score"": 0.8340387335170519}, {""id"": ""genomics_england"", ""score"": 0.8274613634158176}, {""id"": ""europepmc"", ""score"": 0.9969923170649604}, {""id"": ""impc"", ""score"": 0.5364181950330151}, {""id"": ""clinical_precedence"", ""score"": 0.10638788958203368}]"
ENSG00000121879,PIK3CA,0.8177834871089488,"[{""id"": ""cancer_gene_census"", ""score"": 0.9288569461831956}, {""id"": ""intogen"", ""score"": 0.9247648726200333}, {""id"": ""eva"", ""score"": 0.8391965052250615}, {""id"": ""eva_somatic"", ""score"": 0.8129554591061403}, {""id"": ""uniprot_variants"", ""score"": 0.47358787719434603}, {""id"": ""cancer_biomarkers"", ""score"": 0.7599134970145264}, {""id"": ""uniprot_literature"", ""score"": 0.3039653988058105}, {""id"": ""europepmc"", ""score"": 0.9903937689529854}, {""id"": ""clinical_precedence"", ""score"": 0.18577978254114252}]"
ENSG00000133703,KRAS,0.8092923287146534,"[{""id"": ""cancer_gene_census"", ""score"": 0.9455441434850104}, {""id"": ""intogen"", ""score"": 0.9370553634812394}, {""id"": ""eva"", ""score"": 0.6991204172533643}, {""id"": ""clinical_precedence"", ""score"": 0.6035812877104579}, {""id"": ""cancer_biomarkers"", ""score"": 0.9607983220922475}, {""id"": ""crispr"", ""score"": 0.4580268215430173}, {""id"": ""europepmc"", ""score"": 0.998040269538773}]"
ENSG00000119888,EPCAM,0.7899072092268604,"[{""id"": ""genomics_england"", ""score"": 0.8897742701710087}, {""id"": ""eva"", ""score"": 0.8705279999963101}, {""id"": ""clinical_precedence"", ""score"": 0.7803832671629993}, {""id"": ""gene2phenotype"", ""score"": 0.7599134970145264}, {""id"": ""uniprot_literature"", ""score"": 0.607930797611621}, {""id"": ""clingen"", ""score"": 0.607930797611621}, {""id"": ""orphanet"", ""score"": 0.607930797611621}, {""id"": ""europepmc"", ""score"": 0.9499238690046199}, {""id"": ""impc"", ""score"": 0.46485975577090455}]"
