test_id,outcome_id,matrix,cycles,sensitivity,status,reason,N,cases,controls,beta_interaction,se_interaction,p_interaction,design_df
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,urinary_creatinine_sex_specific,not_applicable,non-urine exposure,,,,,,,
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2003-2004,ok,,10293.0,1604.0,8689.0,-0.06380385456982168,0.06484046520140009,0.32728835167904186,109.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2005-2006,ok,,10253.0,1622.0,8631.0,-0.07999081178074198,0.06675547535944935,0.23341242272309698,109.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2007-2008,ok,,10102.0,1554.0,8548.0,-0.10748390218174972,0.06872931492030887,0.12077299463746329,108.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2009-2010,ok,,10007.0,1568.0,8439.0,-0.09353156372197367,0.06995401668181774,0.1840178734241259,108.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2011-2012,ok,,10278.0,1577.0,8701.0,-0.04359070697144515,0.06764964570200886,0.5207211606417551,107.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2013-2014,ok,,10080.0,1515.0,8565.0,-0.10884889145294417,0.07538451944321353,0.1516308566526996,109.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2015-2016,ok,,10207.0,1544.0,8663.0,-0.10139621038145315,0.07451435712533863,0.1763963278951261,109.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2017-2018,ok,,10288.0,1518.0,8770.0,-0.036131402721986464,0.0686678616702857,0.5998346927328434,109.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,winsorize_cycle_1_99pct,ok,,11644.0,1786.0,9858.0,-0.08284783780164295,0.0662642678809201,0.21355736865526614,124.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,delete_cycle_upper_1pct,ok,,11529.0,1765.0,9764.0,-0.11684760512891579,0.07136865777623339,0.1041157659255734,124.0
NHANES_LBXPFDE,T2D,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,above_LOD_only,ok,,8760.0,1324.0,7436.0,-0.10196510774401357,0.08635965483613589,0.23998053354971838,124.0
NHANES_LBXPFDE,obesity,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,urinary_creatinine_sex_specific,not_applicable,non-urine exposure,,,,,,,
NHANES_LBXPFDE,obesity,serum_or_blood,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,LOCO:2003-2004,ok,,10448.0,3991.0,6457.0,-0.12546985645035644,0.05835479201982278,0.033756022051617825,109.0
