"gene_symbol","module","kME_own","target_group"
"TIMP2","turquoise",0.907179184004105,"81_gene_program"
"MMP2","turquoise",0.845741718591597,"81_gene_program"
"LUM","turquoise",0.820582903659173,"81_gene_program"
"NR3C1","turquoise",0.76034047796457,"81_gene_program"
"TNC","turquoise",0.752532062835068,"81_gene_program"
"PTGER3","turquoise",0.73990362554953,"81_gene_program"
"CXCR4","red",0.719175010061399,"81_gene_program_and_7_driver"
"CXCL13","red",0.718317551418819,"81_gene_program"
"PLAC8","brown",0.705893594995873,"81_gene_program"
"RGS2","turquoise",0.702442676319669,"81_gene_program"
"PTGES3","blue",0.698234415408571,"81_gene_program_and_7_driver"
"ADAMTS1","turquoise",0.689916882932702,"81_gene_program"
"DPT","turquoise",0.679139154815361,"81_gene_program"
"PTGER4","brown",0.665597468370399,"81_gene_program_and_7_driver"
"TIMP1","turquoise",0.662265054593729,"81_gene_program_and_7_driver"
"NR1I2","yellow",0.575063299192892,"81_gene_program"
"ATG5","grey",0.556984475348227,"81_gene_program"
"PTGES2","grey",-0.554517846150212,"81_gene_program"
"PTGS1","turquoise",0.544847529916041,"81_gene_program"
"MMP9","turquoise",0.533513107235124,"81_gene_program_and_7_driver"
"OMD","turquoise",0.526934254562188,"81_gene_program"
"PTGFR","turquoise",0.523038302519684,"81_gene_program"
"DUSP1","turquoise",0.521572902956154,"81_gene_program"
"SIRT1","green",0.503676476940188,"81_gene_program"
"BECN1","green",0.501676097771419,"81_gene_program"
"HPGD","brown",0.499993115282468,"81_gene_program"
"SUSD2","turquoise",0.494343365099368,"81_gene_program"
"PPARA","yellow",0.476590283022505,"81_gene_program"
"PGR","turquoise",0.458045276806148,"81_gene_program"
"RXRA","grey",-0.453665692018105,"81_gene_program"
