"gene_symbol","module","kME_own","selected_in_wgcna_input","target_group"
"SIRT1","blue",0.682787974443962,TRUE,"81_gene_program"
"ATG5","blue",0.591324750950239,TRUE,"81_gene_program"
"ABCC4","cyan",0.349148558992564,TRUE,"81_gene_program"
"CXCR4","green",0.727188789662957,TRUE,"81_gene_program_and_7_driver"
"CXCL13","green",0.718674392658749,TRUE,"81_gene_program"
"MMP9","green",0.60355756216584,TRUE,"81_gene_program_and_7_driver"
"PLA2G4A","green",0.318560457655056,TRUE,"81_gene_program"
"DDIT4","grey",0.413053400927837,TRUE,"81_gene_program"
"SIRT5","grey",-0.265878171600044,TRUE,"81_gene_program"
"PTGS2","grey",0.246627990873671,TRUE,"81_gene_program"
"CPS1","grey",0.209112358531483,TRUE,"81_gene_program"
"PTGES","grey",0.178097260398891,TRUE,"81_gene_program"
"CCL20","grey",-0.160540880844525,TRUE,"81_gene_program"
"AKR1C3","grey",-0.0927464874850775,TRUE,"81_gene_program"
"AKR1C1","grey",-0.0683888601418002,TRUE,"81_gene_program"
"DKK1","grey",0.0607635676619996,TRUE,"81_gene_program"
"SLCO2A1","grey",-0.0348340037220975,TRUE,"81_gene_program"
"NR1I2","magenta",0.58674477244328,TRUE,"81_gene_program"
"PPARA","pink",0.468707864044881,TRUE,"81_gene_program"
"SQSTM1","pink",0.309493310617826,TRUE,"81_gene_program"
"PLAC8","red",0.644853446428672,TRUE,"81_gene_program"
"PTGER4","red",0.60389646561015,TRUE,"81_gene_program_and_7_driver"
"PTGER2","red",0.446396638883033,TRUE,"81_gene_program"
"PPARG","red",0.347134961161778,TRUE,"81_gene_program"
"HPGD","red",0.343654276091536,TRUE,"81_gene_program"
"C4BPA","red",0.247209529706789,TRUE,"81_gene_program"
"STAT3","salmon",0.548981158829352,TRUE,"81_gene_program_and_7_driver"
"CA9","tan",0.341231629572357,TRUE,"81_gene_program"
"TIMP2","turquoise",0.89766969101739,TRUE,"81_gene_program"
"MMP2","turquoise",0.832869579926508,TRUE,"81_gene_program"
"LUM","turquoise",0.802545821035921,TRUE,"81_gene_program"
"NR3C1","turquoise",0.801641815714504,TRUE,"81_gene_program"
"DPT","turquoise",0.750718185098308,TRUE,"81_gene_program"
"PTGER3","turquoise",0.749337390764514,TRUE,"81_gene_program"
"TNC","turquoise",0.734811041049099,TRUE,"81_gene_program"
"ADAMTS1","turquoise",0.699279272835731,TRUE,"81_gene_program"
"RGS2","turquoise",0.69910648912352,TRUE,"81_gene_program"
"TIMP1","turquoise",0.68909294427333,TRUE,"81_gene_program_and_7_driver"
"PTGS1","turquoise",0.563185504153772,TRUE,"81_gene_program"
"DUSP1","turquoise",0.5525866099212,TRUE,"81_gene_program"
"HSPA1L","turquoise",0.323981556213536,TRUE,"81_gene_program"
"AHSG",NA,NA,FALSE,"81_gene_program"
"ATF4",NA,NA,FALSE,"81_gene_program"
"BECN1",NA,NA,FALSE,"81_gene_program"
"CADM3",NA,NA,FALSE,"81_gene_program"
"CASP14",NA,NA,FALSE,"81_gene_program"
"CGA",NA,NA,FALSE,"81_gene_program"
"CRP",NA,NA,FALSE,"81_gene_program"
"CYP11A1",NA,NA,FALSE,"81_gene_program"
"CYP2A6",NA,NA,FALSE,"81_gene_program"
"ESR1",NA,NA,FALSE,"81_gene_program"
"FLG",NA,NA,FALSE,"81_gene_program"
"GSTA2",NA,NA,FALSE,"81_gene_program"
"HSD3B2",NA,NA,FALSE,"81_gene_program"
"HSPA1A",NA,NA,FALSE,"81_gene_program"
"IGFBP1",NA,NA,FALSE,"81_gene_program"
"MAP1LC3B",NA,NA,FALSE,"81_gene_program"
"NEAT1",NA,NA,FALSE,"81_gene_program_and_7_driver"
"NR1I3",NA,NA,FALSE,"81_gene_program"
"OMD",NA,NA,FALSE,"81_gene_program"
"PARP10",NA,NA,FALSE,"81_gene_program"
"PGR",NA,NA,FALSE,"81_gene_program"
"PPARD",NA,NA,FALSE,"81_gene_program"
"PTGER1",NA,NA,FALSE,"81_gene_program"
"PTGES2",NA,NA,FALSE,"81_gene_program"
"PTGES3",NA,NA,FALSE,"81_gene_program_and_7_driver"
"PTGFR",NA,NA,FALSE,"81_gene_program"
"PTX3",NA,NA,FALSE,"81_gene_program"
"RELA",NA,NA,FALSE,"81_gene_program"
"RPS2",NA,NA,FALSE,"81_gene_program"
"RXRA",NA,NA,FALSE,"81_gene_program"
"RXRB",NA,NA,FALSE,"81_gene_program"
"SCGN",NA,NA,FALSE,"81_gene_program"
"SIRT2",NA,NA,FALSE,"81_gene_program"
"SIRT3",NA,NA,FALSE,"81_gene_program"
"SNHG25",NA,NA,FALSE,"81_gene_program"
"SNORA13",NA,NA,FALSE,"81_gene_program"
"SNORA65",NA,NA,FALSE,"81_gene_program"
"SPP2",NA,NA,FALSE,"81_gene_program"
"STAR",NA,NA,FALSE,"81_gene_program"
"SUSD2",NA,NA,FALSE,"81_gene_program"
