analysis_category,category,term,description,reduced_rank,fdr,fdr_numeric,p_value,gene_symbol,string_id,hub_rank,degree,membership_basis
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IFNG,9606.ENSP00000229135,9,20,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,RELA,9606.ENSP00000384273,12,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL13,9606.ENSP00000304915,13,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL1A,9606.ENSP00000263339,15,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,PPARA,9606.ENSP00000385523,16,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,CEBPB,9606.ENSP00000305422,17,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0070887,Cellular response to chemical stimulus,1.0,6.12e-36,6.120000000000001e-36,3.9e-40,IL18,9606.ENSP00000280357,20,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IFNG,9606.ENSP00000229135,9,20,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,RELA,9606.ENSP00000384273,12,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,IL1A,9606.ENSP00000263339,15,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,PPARA,9606.ENSP00000385523,16,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,CEBPB,9606.ENSP00000305422,17,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0051128,Regulation of cellular component organization,2.0,1.25e-12,1.25e-12,1e-14,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:1901362,Organic cyclic compound biosynthetic process,3.0,1.25e-12,1.25e-12,9.98e-15,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0008202,Steroid metabolic process,4.0,2.24e-12,2.24e-12,1.9e-14,SREBF1,9606.ENSP00000348069,19,14,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IFNG,9606.ENSP00000229135,9,20,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,SIRT1,9606.ENSP00000212015,10,19,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IL13,9606.ENSP00000304915,13,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,ESR1,9606.ENSP00000405330,14,17,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IL1A,9606.ENSP00000263339,15,16,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0050790,Regulation of catalytic activity,5.0,2.98e-11,2.98e-11,3.19e-13,IL18,9606.ENSP00000280357,20,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,IL1B,9606.ENSP00000263341,6,29,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,PPARG,9606.ENSP00000287820,7,23,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,MMP9,9606.ENSP00000361405,8,21,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,IL4,9606.ENSP00000231449,11,18,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,CEBPB,9606.ENSP00000305422,17,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0002683,Negative regulation of immune system process,6.0,4.54e-11,4.54e-11,4.98e-13,ADIPOQ,9606.ENSP00000389814,18,15,significant nonredundant STRING representative terms
GO_BP,Process,GO:0150077,Regulation of neuroinflammatory response,7.0,4.54e-11,4.54e-11,4.98e-13,IL18,9606.ENSP00000280357,20,13,significant nonredundant STRING representative terms
GO_BP,Process,GO:0009894,Regulation of catabolic process,8.0,6.69e-10,6.69e-10,9.18e-12,IL6,9606.ENSP00000385675,1,38,significant nonredundant STRING representative terms
GO_BP,Process,GO:0009894,Regulation of catabolic process,8.0,6.69e-10,6.69e-10,9.18e-12,TNF,9606.ENSP00000398698,2,36,significant nonredundant STRING representative terms
GO_BP,Process,GO:0009894,Regulation of catabolic process,8.0,6.69e-10,6.69e-10,9.18e-12,TP53,9606.ENSP00000269305,3,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0009894,Regulation of catabolic process,8.0,6.69e-10,6.69e-10,9.18e-12,AKT1,9606.ENSP00000451828,4,32,significant nonredundant STRING representative terms
GO_BP,Process,GO:0009894,Regulation of catabolic process,8.0,6.69e-10,6.69e-10,9.18e-12,STAT3,9606.ENSP00000264657,5,29,significant nonredundant STRING representative terms
