gene_symbol,gene_id,chemical,chemical_identity,exact_evidence_rows,exact_human_supported,exact_experimental_supported,CTD_support,PubChem_support,ChEMBL_support,number_independent_sources,number_independent_references,number_species,evidence_species,evidence_tiers,evidence_types,evidence_directions,evidence_role,direct_target_binding_flag,metabolism_related_flag,ambiguous_direction_flag,evidence_source_databases,evidence_provenance,parent_naphthalene_rows_in_primary,primary_universe_rule,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_id,thyroid_disease_name,thyroid_disease_relevance_score,thyroid_disease_rank,thyroid_source,thyroid_association_scope,hypertension_disease_id,hypertension_disease_name,hypertension_disease_relevance_score,hypertension_disease_rank,hypertension_source,hypertension_association_scope,branch_evidence_note
ABCC1,4363,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,True,False,False,1,1,1,Mus musculus,Tier B,curated chemical-gene interaction,affects,ambiguous_direction;gene_to_chemical_metabolism,False,True,True,CTD,CTD|CTD-PMID:14742140|Mus musculus|affects|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0158067124919798,1248,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,16,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive;Inconclusive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963592|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963592|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963592|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963592|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963593|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1963593|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1963593|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:1963593|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:2061106|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:2061106|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:2061106|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061106|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061107|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:2061107|Homo sapiens|Inconclusive|bioassay activity;PubChem BioAssay|PubChem-AID:2061107|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061107|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.5933509508525646,10,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
ATF6,22926,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1159516|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159516|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159519|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1159519|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0360242476457229,508,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CES1,1066,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,True,False,False,1,1,1,Homo sapiens,Tier A,curated chemical-gene interaction,affects,ambiguous_direction;gene_to_chemical_metabolism,False,True,True,CTD,CTD|CTD-PMID:12837533|Homo sapiens|affects|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0100402527189343,1814,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CFTR,1080,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1224863|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0276984024623557,699,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,14,True,False,False,True,False,1,4,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963588|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1963589|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061102|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061102|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:2061103|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0029566388374776,3967,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CYP1A2,1544;P05177,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,9,True,False,True,True,True,3,6,1,Homo sapiens,Tier A,bioassay activity;curated chemical-gene interaction;target activity / physicochemical assay,Active;Unspecified;affects;decreases;increases,ambiguous_direction;bioassay_target;direct_binding;gene_to_chemical_metabolism;other_exact_interaction,True,True,True,CTD;ChEMBL;PubChem BioAssay,CTD|CTD-PMID:32278787|Homo sapiens|affects|curated chemical-gene interaction;CTD|CTD-PMID:15916432|Homo sapiens|decreases|curated chemical-gene interaction;CTD|CTD-PMID:16243959|Homo sapiens|increases|curated chemical-gene interaction;PubChem BioAssay|PubChem-AID:241334; PMID:15916432|Homo sapiens|Unspecified|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;PubChem BioAssay|PubChem-AID:1671199|Homo sapiens|Active|bioassay activity;ChEMBL|ChEMBL-assay:CHEMBL830921; ChEMBL-document:CHEMBL1144444|Homo sapiens|nan|target activity / physicochemical assay,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0339887620518436,543,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CYP1B1,1545,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,1,False,True,True,False,False,1,1,1,Mus musculus,Tier B,curated chemical-gene interaction,affects;increases,direct_binding,True,False,False,CTD,CTD|CTD-PMID:27837168|Mus musculus|affects;increases|curated chemical-gene interaction,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.1030180771441956,121,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CYP2A6,1548,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,2,True,False,False,True,False,1,2,1,Homo sapiens,Tier A,bioassay activity,Unspecified,ambiguous_direction;bioassay_target;direct_binding,True,False,True,PubChem BioAssay,PubChem BioAssay|PubChem-AID:241172; PMID:15658857|Homo sapiens|Unspecified|bioassay activity;PubChem BioAssay|PubChem-AID:420671; PMID:19110342|Homo sapiens|Unspecified|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0240021583403564,811,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
CYP2C9,1559,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,4,True,False,False,True,False,1,1,1,Homo sapiens,Tier A,bioassay activity,Inactive,bioassay_target,False,False,False,PubChem BioAssay,PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity;PubChem BioAssay|PubChem-AID:1671198|Homo sapiens|Inactive|bioassay activity,0,exact 2-NAP evidence required; parent-only evidence excluded,False,True,hypertension-specific,,,,,,,HP_0000822,Hypertension,0.0488992970362775,345,Open Targets Platform GraphQL,direct (enableIndirect=false),"Disease membership is direct Open Targets symbol membership; it does not imply causality, target status, or sex specificity. Parent naphthalene-only evidence is excluded from the primary universe."
