background,source,term_id,term_name,description,term_size,effective_domain_size,query_size,intersection_size,raw_hypergeom_p,gprofiler_adjusted_p,gprofiler_significant,intersection_genes,parents,query_input_symbols,background_input_symbols
gelsemium_crc1893,GO:BP,GO:0006631,fatty acid metabolic process,"""The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."" [ISBN:0198547684]",59,1875,41,12,1.1694058676365126e-09,3.0275917913012574e-06,True,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1,GO:0006629;GO:0032787,41,1893
gelsemium_crc1893,GO:BP,GO:0030522,intracellular receptor signaling pathway,"""The series of molecular signals initiated by a ligand binding to a receptor located within a cell."" [GOC:bf, GOC:mah]",99,1875,41,14,5.66909020202395e-09,7.33863726650204e-06,True,AKR1C3;BECN1;ESR1;HSPA1A;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;RELA;RXRA;SIRT1;STAT3,GO:0035556,41,1893
gelsemium_crc1893,GO:BP,GO:0042221,response to chemical,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",843,1875,41,36,9.663996508873959e-09,8.340028987136845e-06,True,AKR1C3;ATG5;BECN1;CA9;CCL20;CXCR4;CYP1A2;CYP2C9;CYP3A4;DKK1;DUSP1;ESR1;F3;HPGD;HSPA1A;IGFBP1;IL1A;MMP2;MMP9;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS1;PTGS2;RELA;RXRA;SELE;SIRT1;STAT3;TIMP1;TIMP2,GO:0050896,41,1893
gelsemium_crc1893,GO:BP,GO:0033559,unsaturated fatty acid metabolic process,"""The chemical reactions and pathways involving an unsaturated fatty acid, any fatty acid containing one or more double bonds between carbon atoms."" [GOC:mah]",24,1875,41,8,1.460559572450786e-08,9.146557704555284e-06,True,AKR1C3;CYP1A2;CYP2C9;HPGD;PTGES2;PTGS1;PTGS2;SIRT1,GO:0006631,41,1893
gelsemium_crc1893,GO:BP,GO:0032787,monocarboxylic acid metabolic process,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",90,1875,41,13,1.7664267486639474e-08,9.146557704555284e-06,True,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1;STAT3,GO:0019752,41,1893
gelsemium_crc1893,GO:BP,GO:0006633,fatty acid biosynthetic process,"""The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."" [GOC:mah, ISBN:0198506732]",27,1875,41,8,4.2033026703546914e-08,1.813725102250926e-05,True,AKR1C3;CYP1A2;CYP2C9;CYP3A4;PTGES2;PTGS1;PTGS2;SIRT1,GO:0006631;GO:0008610;GO:0072330,41,1893
gelsemium_crc1893,GO:BP,GO:0006690,icosanoid metabolic process,"""The chemical reactions and pathways involving icosanoids, any of a group of C20 polyunsaturated fatty acids."" [GOC:ma]",29,1875,41,8,7.871681895836938e-08,2.2644204920333915e-05,True,AKR1C3;CYP1A2;CYP2C9;HPGD;PTGES2;PTGS1;PTGS2;SIRT1,GO:0019752,41,1893
gelsemium_crc1893,GO:BP,GO:0070887,cellular response to chemical stimulus,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",606,1875,41,30,7.069659867974093e-08,2.2644204920333915e-05,True,AKR1C3;ATG5;BECN1;CCL20;CXCR4;CYP1A2;CYP2C9;CYP3A4;DUSP1;ESR1;HSPA1A;IGFBP1;IL1A;MMP2;MMP9;NR1I2;NR3C1;PGR;PPARA;PPARD;PPARG;PTGER2;PTGER4;PTGS1;PTGS2;RELA;RXRA;SIRT1;STAT3;TIMP1,GO:0042221;GO:0051716,41,1893
gelsemium_crc1893,GO:BP,GO:0046456,icosanoid biosynthetic process,"""The chemical reactions and pathways resulting in the formation of icosanoids, any of a group of C20 polyunsaturated fatty acids."" [ISBN:0198506732]",12,1875,41,6,6.297375911724155e-08,2.2644204920333915e-05,True,AKR1C3;CYP2C9;PTGES2;PTGS1;PTGS2;SIRT1,GO:0006690;GO:0046394,41,1893
gelsemium_crc1893,GO:BP,GO:0072330,monocarboxylic acid biosynthetic process,"""The chemical reactions and pathways resulting in the formation of monocarboxylic acids, any organic acid containing one carboxyl (-COOH) group."" [GOC:mah]",31,1875,41,8,1.4014016508101965e-07,3.6282288739450436e-05,True,AKR1C3;CYP1A2;CYP2C9;CYP3A4;PTGES2;PTGS1;PTGS2;SIRT1,GO:0032787;GO:0046394,41,1893
