stage_order,stage_label,n,definition,figure_role,causal_boundary_note
1,Core environmental chemicals,267,All Phase 1 primary chemicals,Starting universe,Database-derived candidate universe only
2,Entity-valid,259,E_tag == 1,Identity QC,Not evidence of CRC causality
3,Interpretable human exposure mapping,135,E_tag == 1 and X_tag == 1,Exposure mapping gate,Mapping does not imply biological equivalence
4,Biomarker available,134,E/X/B gates,Biomarker availability gate,Biomarker mapping is analytical not causal
5,Detectable biomarker,127,E/X/B and D >= 1,Detectability gate,Detectability only
6,Adequate cycle coverage,124,E/X/B/D and C >= 1,Coverage gate,Coverage only
7,Human-testable chemical-biomarker mappings,87,E=1 & X=1 & B=1 & D>=1 & C>=1 & T>=1,Primary actionability endpoint,These are mappings not independent chemicals
8,Moderate-eligible mappings,87,E=1 & X=1 & B=1 & D>=1 & C=2 & T>=1,Sensitivity eligibility,Do not depict as a new independent cohort
9,Strict-eligible mappings,27,E=1 & X=1 & B=1 & D=2 & C=2 & T=2,Strict subset,Pre-outcome gate only
10,Unique NHANES biomarker tests,15,Unique biological_matrix|primary_biomarker units,Actual human statistical screen unit,Shared biomarker mapping does not imply parent-chemical equivalence
