gene_symbol,gene_id,chemical,chemical_identity,evidence_tier,evidence_type,species,tissue_or_cell,direction,effect_size,p_value,fdr,dose,duration,dataset_or_reference,source_database,notes
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963587,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963587,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH96839"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963588,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963588,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963588,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963588,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963589,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963589,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963589,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963589,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000729"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963590,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963590,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963590,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963590,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:1963591,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:1963591,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963591,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963591,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAV38316"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963592,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963592,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963592,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963592,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:1963593,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:1963593,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,6.859,,,,,PubChem-AID:1963593,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,6.859,,,,,PubChem-AID:1963593,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=NP_000015"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963594,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963594,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963594,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963594,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963595,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963595,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963595,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:1963595,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay; assay_type=Confirmatory; activity_name=Potency; target_accession=AAH21195"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061098,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061098,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061098,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061098,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061099,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061099,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAV38316"
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061099,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
CREB1,1385,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061099,PubChem BioAssay,"assay_name=cAMP Responsive Elements (CRE) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAV38316"
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061100,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061100,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAH96839"
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061100,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061100,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAH96839"
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061101,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061101,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAH96839"
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061101,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
HTR2A,3356,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061101,PubChem BioAssay,"assay_name=5-hydroxytryptamine receptor 2A (HTR2A) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=AAH96839"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061102,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061102,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061103,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061103,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=NP_000729"
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061103,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession="
CHRM1,1128,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061103,PubChem BioAssay,"assay_name=Cholinergic receptor muscarinic 1 (CHRM1) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=; target_accession=NP_000729"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061104,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061104,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061104,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061104,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061105,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061105,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAH21195"
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061105,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
DRD2,1813,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061105,PubChem BioAssay,"assay_name=Dopamine D2 receptor (DRD2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=AAH21195"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:2061106,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,,,,,,PubChem-AID:2061106,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061106,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061106,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule antagonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,0.702671,,,,,PubChem-AID:2061107,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inconclusive,0.702671,,,,,PubChem-AID:2061107,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_000015"
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061107,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession="
ADRB2,154,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier A,bioassay activity,Homo sapiens,,Inactive,,,,,,PubChem-AID:2061107,PubChem BioAssay,"assay_name=Adrenergic beta2 receptor (ADRB2) small molecule agonists, cell-based qHTS assay: Summary; assay_type=Summary; activity_name=Potency; target_accession=NP_000015"
St1a1,P17988,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,target activity / physicochemical assay,Rattus norvegicus,,,8000.0,,,,,ChEMBL-assay:CHEMBL651158; ChEMBL-document:CHEMBL1135676,ChEMBL,target=CHEMBL4886; target_type=SINGLE PROTEIN; standard_type=Km; standard_units=nM; relation==; assay_description=Apparent Michaelis constant (Km) against Arylsulfotransferase (AST IV)
St1a1,P17988,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,target activity / physicochemical assay,Rattus norvegicus,,,1130.0,,,,,ChEMBL-assay:CHEMBL651159; ChEMBL-document:CHEMBL1135676,ChEMBL,target=CHEMBL4886; target_type=SINGLE PROTEIN; standard_type=Vmax; standard_units=nM min-1; relation==; assay_description=Maximal velocity (Vmax) against Arylsulfotransferase (AST IV)
St1a1,P17988,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,target activity / physicochemical assay,Rattus norvegicus,,,4790.0,,,,,ChEMBL-assay:CHEMBL846524; ChEMBL-document:CHEMBL1135676,ChEMBL,target=CHEMBL4886; target_type=SINGLE PROTEIN; standard_type=Ratio; standard_units=; relation==; assay_description=Ratio of kcat/Km determined for catalytic efficiency in sulfonation against AST IV
No relevant target,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,target activity / physicochemical assay,Unknown,,,-2.28,,,,,ChEMBL-assay:CHEMBL631962; ChEMBL-document:CHEMBL1132890,ChEMBL,target=CHEMBL2362975; target_type=NO TARGET; standard_type=Log S; standard_units=; relation==; assay_description=Aqueous solubility
No relevant target,,2-naphthol,CTD:C028405; PubChem CID:8663; ChEMBL:CHEMBL14126,Tier B,target activity / physicochemical assay,Unknown,,,2.7,,,,,ChEMBL-assay:CHEMBL631694; ChEMBL-document:CHEMBL1123773,ChEMBL,target=CHEMBL2362975; target_type=NO TARGET; standard_type=LogP; standard_units=; relation==; assay_description=Partition coefficient (logP)
