soma_joinid,organism,category,label,ontology_term_id,total_cell_count,unique_cell_count
0,callithrix_jacchus,all,na,na,2275451,1712738
1,callithrix_jacchus,assay,10x 3' v3,EFO:0009922,2275451,1712738
2,callithrix_jacchus,cell_type,ependymal cell,CL:0000065,19113,19113
3,callithrix_jacchus,cell_type,T cell,CL:0000084,113,113
4,callithrix_jacchus,cell_type,endothelial cell,CL:0000115,42093,41320
5,callithrix_jacchus,cell_type,astrocyte,CL:0000127,234817,165907
6,callithrix_jacchus,cell_type,oligodendrocyte,CL:0000128,359089,287281
7,callithrix_jacchus,cell_type,microglial cell,CL:0000129,65313,57904
8,callithrix_jacchus,cell_type,smooth muscle cell,CL:0000192,647,647
9,callithrix_jacchus,cell_type,macrophage,CL:0000235,254,254
10,callithrix_jacchus,cell_type,B cell,CL:0000236,6,6
11,callithrix_jacchus,cell_type,inhibitory interneuron,CL:0000498,2471,2471
12,callithrix_jacchus,cell_type,neuron,CL:0000540,123290,123290
13,callithrix_jacchus,cell_type,GABAergic neuron,CL:0000617,259176,173748
14,callithrix_jacchus,cell_type,pericyte,CL:0000669,2884,2521
15,callithrix_jacchus,cell_type,glutamatergic neuron,CL:0000679,768551,549892
16,callithrix_jacchus,cell_type,leptomeningeal cell,CL:0000708,463,0
17,callithrix_jacchus,cell_type,myeloid cell,CL:0000763,44,44
18,callithrix_jacchus,cell_type,erythroid lineage cell,CL:0000764,233,233
19,callithrix_jacchus,cell_type,oligodendrocyte precursor cell,CL:0002453,7654,4586
20,callithrix_jacchus,cell_type,astrocyte of the cerebral cortex,CL:0002605,6771,0
21,callithrix_jacchus,cell_type,GABAergic interneuron,CL:0011005,5907,5907
22,callithrix_jacchus,cell_type,medium spiny neuron,CL:1001474,58096,58096
23,callithrix_jacchus,cell_type,cerebral cortex endothelial cell,CL:1001602,508,0
24,callithrix_jacchus,cell_type,lamp5 GABAergic cortical interneuron,CL:4023011,4864,3542
25,callithrix_jacchus,cell_type,near-projecting glutamatergic cortical neuron,CL:4023012,791,0
26,callithrix_jacchus,cell_type,corticothalamic-projecting glutamatergic cortical neuron,CL:4023013,2047,0
27,callithrix_jacchus,cell_type,sncg GABAergic cortical interneuron,CL:4023015,948,0
28,callithrix_jacchus,cell_type,VIP GABAergic cortical interneuron,CL:4023016,9200,6539
29,callithrix_jacchus,cell_type,sst GABAergic cortical interneuron,CL:4023017,11771,8297
30,callithrix_jacchus,cell_type,pvalb GABAergic cortical interneuron,CL:4023018,8525,6085
31,callithrix_jacchus,cell_type,chandelier pvalb GABAergic cortical interneuron,CL:4023036,2144,1614
32,callithrix_jacchus,cell_type,L6b glutamatergic cortical neuron,CL:4023038,3937,2654
33,callithrix_jacchus,cell_type,L2/3-6 intratelencephalic projecting glutamatergic neuron,CL:4023040,42312,0
34,callithrix_jacchus,cell_type,L5 extratelencephalic projecting glutamatergic cortical neuron,CL:4023041,2054,1361
35,callithrix_jacchus,cell_type,L6 corticothalamic-projecting glutamatergic cortical neuron,CL:4023042,4957,4957
