drug_key,DRUG_NAME,PRISM_phase,PRISM_disease_area,PRISM_indication,CTRPv2_clinical_phase,clinical_status,clinical_context,GDSC_clinical_status,approved_nononcology_high_confidence,novelty_audit,post_ranking_identity_status
CABOZANTINIB,cabozantinib,Launched,oncology,medullary thyroid cancer (MTC),Launched,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
BMS754807,BMS-754807,Phase 2,,,Phase 2,investigational,investigational_nononcology_or_unresolved,investigational,False,pending_after_biological_freeze,annotation_after_external_replication_only
CICLOPIROX,ciclopirox,Launched,infectious disease,onychomycosis,Launched,approved,approved_nononcology_high_confidence,not_in_GDSC_audit,True,pending_after_biological_freeze,annotation_after_external_replication_only
IXAZOMIB,ixazomib,Launched,hematologic malignancy,multiple myeloma,,approved,approved_oncology,not_in_GDSC_audit,False,pending_after_biological_freeze,annotation_after_external_replication_only
NILOTINIB,nilotinib,Launched,hematologic malignancy,chronic myeloid leukemia (CML),Launched,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
CHIR99021,CHIR-99021,Preclinical,,,Preclinical,preclinical,preclinical_or_unresolved,preclinical,False,pending_after_biological_freeze,annotation_after_external_replication_only
CISPLATIN,cisplatin,Launched,oncology,"testicular carcinoma, ovarian cancer, bladder cancer",,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
GEMCITABINE,gemcitabine,Launched,oncology,"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC), pancreatic cancer",Launched,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
MASITINIB,masitinib,Launched,dermatology,mastocytoma,Launched,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
RAPAMYCIN,Rapamycin,,,,,unresolved,unresolved,unresolved,False,pending_after_biological_freeze,annotation_after_external_replication_only
VISMODEGIB,vismodegib,Launched,oncology,basal cell carcinoma (BCC),,approved,approved_oncology,approved,False,pending_after_biological_freeze,annotation_after_external_replication_only
