configuration_a,configuration_b,top20_overlap,top20_jaccard
GeneCards_Disorders_top500,GeneCards_Disorders_top1000,15,0.6
GeneCards_Disorders_top500,GeneCards_Disorders_top2000,15,0.6
GeneCards_Disorders_top500,GeneCards_Anywhere_top500,11,0.3793103448275862
GeneCards_Disorders_top500,GeneCards_Anywhere_top1000,11,0.3793103448275862
GeneCards_Disorders_top500,GeneCards_Anywhere_top2000,7,0.21212121212121213
GeneCards_Disorders_top1000,GeneCards_Disorders_top2000,20,1.0
GeneCards_Disorders_top1000,GeneCards_Anywhere_top500,10,0.3333333333333333
GeneCards_Disorders_top1000,GeneCards_Anywhere_top1000,11,0.3793103448275862
GeneCards_Disorders_top1000,GeneCards_Anywhere_top2000,8,0.25
GeneCards_Disorders_top2000,GeneCards_Anywhere_top500,10,0.3333333333333333
GeneCards_Disorders_top2000,GeneCards_Anywhere_top1000,11,0.3793103448275862
GeneCards_Disorders_top2000,GeneCards_Anywhere_top2000,8,0.25
GeneCards_Anywhere_top500,GeneCards_Anywhere_top1000,14,0.5384615384615384
GeneCards_Anywhere_top500,GeneCards_Anywhere_top2000,9,0.2903225806451613
GeneCards_Anywhere_top1000,GeneCards_Anywhere_top2000,14,0.5384615384615384
