GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore
"1","POLD1","DNA Polymerase Delta 1, Catalytic Subunit","Protein Coding","233.3","100"
"2","MLH1","MutL Homolog 1","Protein Coding","179.5","100"
"3","AXIN2","Axin 2","Protein Coding","170.3","100"
"4","APC","APC Regulator Of Wnt Signaling Pathway","Protein Coding","149.1","100"
"5","POLE","DNA Polymerase Epsilon, Catalytic Subunit","Protein Coding","143.5","100"
"6","MLH3","MutL Homolog 3","Protein Coding","117.3","89"
"7","BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","114.3","100"
"8","MSH2","MutS Homolog 2","Protein Coding","103.9","100"
"9","KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","98.5","100"
"10","MSH6","MutS Homolog 6","Protein Coding","94.1","100"
"11","TP53","Tumor Protein P53","Protein Coding","90.2","100"
"12","GALNT12","Polypeptide N-Acetylgalactosaminyltransferase 12","Protein Coding","84.2","84"
"13","CTNNB1","Catenin Beta 1","Protein Coding","76.2","100"
"14","MUTYH","MutY DNA Glycosylase","Protein Coding","72.6","96"
"15","PMS2","PMS1 Homolog 2, Mismatch Repair System Component","Protein Coding","70.2","99"
"16","PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","68.8","100"
"17","ATM","ATM Serine/Threonine Kinase","Protein Coding","67.3","100"
"18","EGFR","Epidermal Growth Factor Receptor","Protein Coding","64.9","100"
"19","DLC1","DLC1 Rho GTPase Activating Protein","Protein Coding","64.0","96"
"20","FLCN","Folliculin","Protein Coding","64.0","91"
"21","CHEK2","Checkpoint Kinase 2","Protein Coding","58.6","100"
"22","SMAD4","SMAD Family Member 4","Protein Coding","55.2","100"
"23","PTEN","Phosphatase And Tensin Homolog","Protein Coding","54.6","100"
"24","NRAS","NRAS Proto-Oncogene, GTPase","Protein Coding","52.3","97"
"25","BRCA2","BRCA2 DNA Repair Associated","Protein Coding","50.0","100"
"26","ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","49.6","100"
"27","TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","49.2","100"
"28","CDH1","Cadherin 1","Protein Coding","48.4","100"
"29","EPCAM","Epithelial Cell Adhesion Molecule","Protein Coding","47.7","94"
"30","DCC","DCC Netrin 1 Receptor","Protein Coding","46.7","100"
"31","CCND1","Cyclin D1","Protein Coding","46.5","91"
"32","AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","46.4","100"
"33","BRCA1","BRCA1 DNA Repair Associated","Protein Coding","46.0","100"
"34","PALB2","Partner And Localizer Of BRCA2","Protein Coding","44.8","98"
"35","MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","43.2","95"
"36","BUB1B","BUB1 Mitotic Checkpoint Serine/Threonine Kinase B","Protein Coding","42.7","100"
"37","PMS1","PMS1 Homolog 1, Mismatch Repair System Component","Protein Coding","42.6","79"
"38","BMPR1A","Bone Morphogenetic Protein Receptor Type 1A","Protein Coding","42.5","100"
"39","FGFR3","Fibroblast Growth Factor Receptor 3","Protein Coding","42.4","100"
"40","COLCA1","Colorectal Cancer Associated 1","RNA Gene","42.1","58"
"41","MSH3","MutS Homolog 3","Protein Coding","41.6","93"
"42","STK11","Serine/Threonine Kinase 11","Protein Coding","40.9","100"
"43","CTNNA1","Catenin Alpha 1","Protein Coding","39.9","100"
"44","PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","39.9","91"
"45","BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","39.4","92"
"46","SMAD7","SMAD Family Member 7","Protein Coding","38.1","93"
"47","GREM1","Gremlin 1, DAN Family BMP Antagonist","Protein Coding","37.8","89"
"48","EP300","EP300 Lysine Acetyltransferase","Protein Coding","37.6","100"
"49","MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","36.9","100"
"50","PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","36.7","100"
"51","H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","36.3","66"
"52","VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","35.5","97"
"53","NTHL1","Nth Like DNA Glycosylase 1","Protein Coding","35.1","94"
"54","TYMS","Thymidylate Synthetase","Protein Coding","34.6","92"
"55","RPS20","Ribosomal Protein S20","Protein Coding","34.6","99"
"56","BLM","BLM RecQ Like Helicase","Protein Coding","34.1","100"
"57","ARID1A","AT-Rich Interaction Domain 1A","Protein Coding","33.6","100"
"58","RAD51D","RAD51 Paralog D","Protein Coding","33.4","97"
"59","RNF43","Ring Finger Protein 43","Protein Coding","33.4","89"
"60","NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","32.8","100"
"61","RET","Ret Proto-Oncogene","Protein Coding","32.6","100"
"62","BRIP1","BRCA1 Interacting DNA Helicase 1","Protein Coding","32.2","100"
"63","FBXW7","F-Box And WD Repeat Domain Containing 7","Protein Coding","31.9","100"
"64","C11orf65","Chromosome 11 Open Reading Frame 65","Protein Coding","31.9","69"
"65","MCC","MCC Regulator Of Wnt Signaling Pathway","Protein Coding","31.9","75"
"66","TCF7L2","Transcription Factor 7 Like 2","Protein Coding","31.6","100"
"67","MIR21","MicroRNA 21","RNA Gene","31.1","73"
"68","RAD51C","RAD51 Paralog C","Protein Coding","31.1","100"
"69","MIR215","MicroRNA 215","RNA Gene","30.7","58"
"70","STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","30.7","100"
"71","FLT1","Fms Related Receptor Tyrosine Kinase 1","Protein Coding","29.8","97"
"72","SEPTIN9","Septin 9","Protein Coding","29.8","90"
"73","NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","29.8","100"
