test_id,biomarker,exposure_axis,candidate_class,tier,male_top_outcome,male_top_system,male_beta,male_se,male_z,female_top_outcome,female_top_system,female_beta,female_se,female_z,interaction_for_male_top,q_for_male_top,interaction_for_female_top,q_for_female_top,cross_disease,cross_system,main_strength,main_limitation
NHANES_LBXPFDE,LBXPFDE,PFAS exposure axis,Unstable / ambiguous,Tier C,Emphysema,Respiratory,-0.2513939310782649,0.0951071983203709,-2.6432692321714533,Obesity,Metabolic,-0.2204830490371924,0.037259712634778,-5.917465096909921,0.1457714680156036,0.7215600217986957,-0.1046357810024378,0.3979861861784668,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_LBXPFHS,LBXPFHS,PFAS exposure axis,Unstable / ambiguous,Tier C,Congestive heart failure,Cardiovascular,-0.234377901682409,0.0652594614687981,-3.5914777169050027,Congestive heart failure,Cardiovascular,-0.2017340896448623,0.0677789431210126,-2.9763534271209577,0.0495926451023482,0.8647580788163564,0.0495926451023482,0.8647580788163564,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_LBXPFNA,LBXPFNA,PFAS exposure axis,Unstable / ambiguous,Tier C,Myocardial infarction,Cardiovascular,0.1859232044978858,0.0770156097978617,2.4140976743009293,Congestive heart failure,Cardiovascular,-0.1931959887626556,0.0793287365974096,-2.43538466701062,-0.3353845470127669,0.0209694699818886,-0.1286131308818807,0.601201534064582,True,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXBPH,URXBPH,bisphenol exposure axis,Unstable / ambiguous,Tier C,Chronic bronchitis,Respiratory,0.145575886125822,0.0526265772804704,2.766204713447038,Obesity,Metabolic,0.1453242660541666,0.0313163189835762,4.640528349784075,-0.0446814078630426,0.8336253078470542,0.0839637370465925,0.3170808358969391,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXCOP,URXCOP,DINP-related exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.0818071073305933,0.0216036289961423,3.786729875115027,Type 2 diabetes,Metabolic,0.1523371119612364,0.0250648868361051,6.077709943689037,0.0603248488081254,0.1883645502217989,0.134691973799623,0.0223700772825267,True,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXECP,URXECP,DEHP-related exposure axis;phthalate exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.117740964301884,0.0227147121176094,5.183467159621462,Obesity,Metabolic,0.200018875735131,0.0213901164209957,9.350995188544196,0.0397846382018587,0.4919225107746001,0.0397846382018587,0.4919225107746001,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMBP,URXMBP,phthalate exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.0752759243441134,0.0212560516886659,3.541387904332762,Obesity,Metabolic,0.1355043468864067,0.0182385503764801,7.429556850151267,0.0739133730668309,0.1205133826997023,0.0739133730668309,0.1205133826997023,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMEP,URXMEP,phthalate exposure axis,Unstable / ambiguous,Tier C,Emphysema,Respiratory,-0.0891607252320235,0.0390562396401047,-2.282880432259261,Obesity,Metabolic,0.0838627163207976,0.0158483173892144,5.29158485795284,0.018681431234306,0.9573168049977776,0.0553196481611194,0.1205133826997023,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMHH,URXMHH,DEHP-related exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.1007916301846197,0.019431095439615,5.187130622555202,Obesity,Metabolic,0.1610946723297401,0.0191507984735796,8.411903689132647,0.0375542967304298,0.4919225107746001,0.0375542967304298,0.4919225107746001,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMHP,URXMHP,DEHP-related exposure axis,Unstable / ambiguous,Tier C,Myocardial infarction,Cardiovascular,0.132365776314157,0.0480264045995684,2.756104218456248,Coronary heart disease,Cardiovascular,0.120816755256181,0.0561916338653289,2.150084397718978,-0.0114869434721631,0.9661358669209712,0.1164926700365698,0.3979861861784668,True,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMIB,URXMIB,phthalate exposure axis,Unstable / ambiguous,Tier C,Myocardial infarction,Cardiovascular,0.0892533837829803,0.0475830894969383,1.875737467377423,Coronary heart disease,Cardiovascular,0.1973369605133767,0.061875376418402,3.189264808329923,-0.0235789104667061,0.9573168049977776,0.187949886910635,0.1156174460247801,True,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMOH,URXMOH,DEHP-related exposure axis;phthalate exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.1020394012631596,0.0202848011901874,5.030337754186139,Obesity,Metabolic,0.1605625844659709,0.0190942770413235,8.408937616149812,0.0381391242439824,0.4919225107746001,0.0381391242439824,0.4919225107746001,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXMZP,URXMZP,phthalate exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.1030278089905797,0.019206748251343,5.364146374094097,Obesity,Metabolic,0.1712400359645781,0.0172116237848689,9.949092433400665,0.0875131949899874,0.0223700772825267,0.0875131949899874,0.0223700772825267,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXP02,URXP02,PAH exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.1657519818002386,0.0275301908584791,6.020734932507312,Obesity,Metabolic,0.205441591688149,0.0263257586370657,7.803824175417866,0.0850873700639085,0.1156174460247801,0.0850873700639085,0.1156174460247801,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXP04,URXP04,PAH exposure axis,Unstable / ambiguous,Tier C,Emphysema,Respiratory,0.1452478914962393,0.0869662365507489,1.6701641609095077,Emphysema,Respiratory,0.1998408890454232,0.0963065931466553,2.0750488883051474,-0.0198260268984663,0.9573168049977776,-0.0198260268984663,0.9573168049977776,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXP10,URXP10,PAH exposure axis,Unstable / ambiguous,Tier C,Stroke,Cardiovascular,-0.1317525644394723,0.0521381407298893,-2.526990080487131,Coronary heart disease,Cardiovascular,0.1877711003501325,0.0731982298797108,2.5652409991157343,0.1729534105817782,0.2472012865133476,0.2215730541468608,0.0869521479075525,True,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXP25,URXP25,PAH exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.1261917943148894,0.0554642643833778,2.2751909850030945,Myocardial infarction,Cardiovascular,0.2988902689416287,0.1029538046919468,2.903149328341513,0.2016108110264487,0.0421584247226351,0.4730004293065423,0.1156174460247801,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXUBA,URXUBA,metal exposure axis,Unstable / ambiguous,Tier C,Congestive heart failure,Cardiovascular,-0.2006044432388051,0.0511587891202797,-3.921211715296133,Obesity,Metabolic,0.160704067534203,0.0208849832998298,7.694718507891392,0.2770582623972933,0.0147905710618275,0.0497636299484352,0.485572156228093,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXUCD,URXUCD,metal exposure axis,Unstable / ambiguous,Tier C,Emphysema,Respiratory,0.2597470912511422,0.0966923484080443,2.6863251904380534,Emphysema,Respiratory,0.2813203588608634,0.1359332002264899,2.0695485605586534,-0.0448121795319503,0.9573168049977776,-0.0448121795319503,0.9573168049977776,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXUCO,URXUCO,metal exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.162970450544268,0.0400929062956352,4.0648200792071325,Congestive heart failure,Cardiovascular,0.2610947391180798,0.0675253906759276,3.86661575008345,-0.0076145473697541,0.9661358669209712,0.1935611190384017,0.2828087237658048,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXUCS,URXUCS,metal exposure axis,Unstable / ambiguous,Tier C,Any cancer history,Cancer,0.1537193953359966,0.0685855617356902,2.2412792349560196,Obesity,Metabolic,0.1895988483448815,0.0283389449044831,6.690398989232932,-0.1704157940794869,0.2759070580412123,0.0581824576049001,0.6007087062030234,True,True,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
NHANES_URXUMO,URXUMO,metal exposure axis,Unstable / ambiguous,Tier C,Obesity,Metabolic,0.137671533241822,0.0294402002576534,4.676311031750958,Obesity,Metabolic,0.1707940763246132,0.0259038412896242,6.5933880004516885,0.0557053889171324,0.4919225107746001,0.0557053889171324,0.4919225107746001,False,False,formal interaction direction and separate robustness diagnostics shown in companion table,descriptive destination ranking; no composite score or causal/mechanistic inference
