family_id,theme_id,theme_label,term_count,source_count,sources,union_gene_count,union_genes,representative_term_id,representative_term_name
family_01,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,31,2,GO:BP;REAC,15,BECN1;CRP;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3,GO:0006631,fatty acid metabolic process
family_02,inflammation_defense,Inflammation / defense / stimulus response,17,1,GO:BP,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0006954,inflammatory response
family_03,chemical_oxygen_stress,Chemical / oxygen / abiotic stress response,10,1,GO:BP,16,BECN1;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0070887,cellular response to chemical stimulus
family_04,apoptosis_cell_death,Apoptosis / programmed cell death,7,1,GO:BP,12,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1,GO:0042981,regulation of apoptotic process
family_05,mirna_regulation,miRNA transcription / metabolism,6,1,GO:BP,6,ESR1;NEAT1;PPARD;PPARG;RELA;STAT3,GO:2000628,regulation of miRNA metabolic process
family_06,signaling_receptor,Signaling / receptor / hormone response,9,2,GO:BP;REAC,13,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0030522,intracellular receptor signaling pathway
family_07,matrix_migration,Matrix remodeling / cell migration,2,2,GO:BP;REAC,9,CXCR4;MMP2;MMP9;PPARD;PPARG;PTGS2;SIRT1;STAT3;TIMP1,REAC:R-HSA-1592389,Activation of Matrix Metalloproteinases
family_08,development_reproduction,Development / reproduction / circulation,18,1,GO:BP,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0042127,regulation of cell population proliferation
family_09,general_metabolism,General metabolism / biosynthesis / storage,5,1,GO:BP,18,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;NEAT1;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,GO:0065008,regulation of biological quality
family_10,ontology_umbrella,Ontology umbrella / root term,1,1,REAC,17,BECN1;CRP;CXCR4;CYP1A2;CYP3A4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS1;PTGS2;RELA;SIRT1;STAT3;TIMP1,REAC:0000000,REACTOME root term
